system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
body_composition,body_comp_total_diff_bone_mass,continuous,1304,1374,0.0318177609871235,-0.0301967687970953,-0.0015043055462207,-0.0031940706780917,0.0,0.3393089491788033,0.3710200659244858,False
body_composition,body_comp_trunk_diff_total_mass,continuous,1304,1374,0.0332602833023983,-0.0315658001647217,-0.001681546497227,-0.0377032237067755,0.0,0.5756980355009971,0.6236728717927468,False
body_composition,body_comp_arms_diff_fat_mass,continuous,1304,1374,-0.034205412770115,0.0324627789317539,-0.0006384373751077,-0.0023001874769496,0.0007170381609604,0.6600454649544146,0.703106515879606,False
body_composition,body_comp_legs_diff_fat_free_mass,continuous,1304,1374,-0.0203069291529497,0.0192723694435563,-0.0025633906407762,-0.0083235451864143,0.0030952900567734,0.6610403140748433,0.703106515879606,False
body_composition,body_comp_total_diff_lean_mass,continuous,1304,1374,-0.0028687076904237,0.0027225580992087,-0.0058715189806209,-0.0245363199464992,0.0125965272653053,0.7538236768256469,0.7934263086051219,False
body_composition,body_comp_legs_diff_bone_mass,continuous,1304,1374,0.0010267957587329,-0.000974484475537,0.0,-0.0001197560492326,0.000352681804441,0.7595192013997748,0.7934263086051219,False
body_composition,body_comp_total_diff_fat_free_mass,continuous,1304,1374,-5.312794291345841e-05,5.042127915513083e-05,-0.0053784893531279,-0.0248292778046584,0.013801908255873,0.7756430595727593,0.8030994510620605,False
body_composition,body_comp_arms_diff_total_mass,continuous,1304,1374,0.0433334104599945,-0.0411257403492233,0.0,0.0,0.0,0.8017323723041166,0.8228305926279093,False
body_composition,body_comp_trunk_diff_tissue_mass,continuous,1304,1374,0.0086415879494471,-0.0082013323770592,-0.0059323184593783,-0.0300268754724337,0.0183441062305114,0.8099805036312723,0.8240671210857292,False
body_composition,body_comp_legs_diff_lean_mass,continuous,1304,1374,-0.0256164426110658,0.0243113836716374,0.0012039502657796,-0.004194519982447,0.0066131843291994,0.8224646002735773,0.8295548123449011,False
body_composition,height,continuous,1380,1447,-0.0016369829807288,0.0015611862566686,0.0,0.0,0.0,0.8783563559423258,0.8783563559423258,False
bone_density,body_pelvis_area,continuous,1304,1374,-0.1019037681082967,0.0967121642017594,0.1871999237897932,0.148501950414427,0.2260255653092784,1.2460103269717526e-06,0.0001966696256468,True
bone_density,body_pelvis_bmc,continuous,1304,1374,-0.0991516206009948,0.0941002279939582,0.1822244261631274,0.1429794980656023,0.2183669099452595,2.1612046774379885e-06,0.0001966696256468,True
bone_density,body_total_area,continuous,1304,1374,-0.0858475072802635,0.0814739079282873,0.1737283977966103,0.1345553472505022,0.2106215270099136,1.009292422792802e-05,0.0006123040698276,True
bone_density,body_leg_right_area,continuous,1304,1374,-0.0898027877306684,0.0852276820966445,0.1671242719535011,0.1276004687886256,0.2069521736752244,1.427300535547585e-05,0.0006494217436741,True
bone_density,body_legs_area,continuous,1304,1374,-0.0863837908157649,0.0819828698862849,0.1649922040274921,0.12520143174607,0.2034523265873636,2.4190075531543246e-05,0.0007337656244568,True
bone_density,body_total_left_area,continuous,1304,1374,-0.083935276362633,0.0796590977997628,0.1619890690410806,0.1248973816252686,0.2001477115499532,2.3074784921715176e-05,0.0007337656244568,True
bone_density,body_head_area,continuous,1304,1374,-0.0676514391734962,0.0642048593029383,0.1259924544285157,0.1016010497633187,0.1631692484728338,3.2788278767351595e-05,0.0008524952479511,True
bone_density,body_total_right_area,continuous,1304,1374,-0.0784331841770145,0.0744373159875003,0.1607265931458085,0.1226596763939634,0.1984152680811112,3.897481959681853e-05,0.0008866771458276,True
bone_density,body_leg_left_area,continuous,1304,1374,-0.0806573904665624,0.0765482075461425,0.1544414694196128,0.1227767662476786,0.1943477924405718,5.560160342377584e-05,0.0011243879803474,True
bone_density,body_arm_right_bmc,continuous,1304,1374,-0.0715988404056994,0.0679511556688723,0.1450882919265985,0.0993591135902088,0.1785782189134922,0.0002062867576096,0.0028880146065352,True
bone_density,body_arms_area,continuous,1304,1374,-0.0795435289800682,0.0754910930058313,0.1257852784053915,0.0952030872049034,0.1615573914322381,0.0002000080973875,0.0028880146065352,True
bone_density,spine_l4_average_width,continuous,1272,1320,-0.0756189856837254,0.0728692043861331,0.1394424418642096,0.1069316965369394,0.1798661847806423,0.0001765888076084,0.0028880146065352,True
bone_density,spine_l4_bmc,continuous,1272,1320,-0.0740228414223222,0.0713311017342365,0.1435116365477008,0.1060302010041159,0.1814575606119599,0.0001769508046587,0.0028880146065352,True
bone_density,femur_right_troch_bmc,continuous,1258,1312,-0.0671691885516349,0.0644046030472227,0.1337204849645523,0.097365739224224,0.1697760395392108,0.0003190711511592,0.0041479249650696,True
