system,feature,effect_size_cohens_d,ci_low,ci_high,p_value,q_value_fdr,higher_in,significant_q05,analysis_type
bone_density,body_leg_left_bmc,0.2297,0.1844,0.2773,9.732734803064938e-07,3.6150157839955486e-06,B (lean),True,continuous
bone_density,body_legs_bmc,0.2287,0.183,0.2748,1.158503437603085e-06,4.216952512875229e-06,B (lean),True,continuous
bone_density,body_trunk_bmc,0.2223,0.1764,0.268,1.3810932967394969e-06,4.928607451109577e-06,B (lean),True,continuous
bone_density,femur_right_neck_bmc,0.2248,0.1795,0.2703,1.422087594204185e-06,4.977306579714648e-06,B (lean),True,continuous
bone_density,body_leg_right_bmc,0.2243,0.1769,0.2686,1.767798914806714e-06,6.070554764053243e-06,B (lean),True,continuous
bone_density,body_total_bmc,0.2238,0.1784,0.2698,1.875734187401044e-06,6.206974947399819e-06,B (lean),True,continuous
bone_density,body_trunk_right_area,0.2261,0.1815,0.2745,1.8434751735275095e-06,6.206974947399819e-06,B (lean),True,continuous
bone_density,body_trunk_left_bmc,0.214,0.1716,0.2594,2.2559898446485287e-06,7.331966995107718e-06,B (lean),True,continuous
bone_density,femur_left_shaft_bmd,0.2205,0.175,0.2672,3.4027724588998083e-06,1.0864992763504651e-05,B (lean),True,continuous
bone_density,body_trunk_right_bmc,0.2179,0.1736,0.2627,3.480563872105053e-06,1.0921769391777923e-05,B (lean),True,continuous
bone_density,spine_l3_l4_bmc,0.2171,0.1711,0.2629,3.5992248237090806e-06,1.1102693523983945e-05,B (lean),True,continuous
bone_density,femur_upper_neck_mean_bmd,0.2097,0.1657,0.2543,3.990560597063207e-06,1.2104700477758396e-05,B (lean),True,continuous
bone_density,femur_right_upper_neck_bmd,0.2091,0.1646,0.2531,4.378547905406474e-06,1.30638642423603e-05,B (lean),True,continuous
bone_density,femur_left_upper_neck_bmd,0.2058,0.1622,0.2494,4.925231858666613e-06,1.422844759170355e-05,B (lean),True,continuous
bone_density,femur_shaft_mean_bmd,0.219,0.1716,0.2658,4.892107746496661e-06,1.422844759170355e-05,B (lean),True,continuous
bone_density,femur_left_neck_bmd,0.2088,0.1621,0.254,8.472682419853177e-06,2.4094190631457468e-05,B (lean),True,continuous
bone_density,body_legs_area,0.2099,0.1638,0.2567,8.703110630450028e-06,2.436870976526008e-05,B (lean),True,continuous
bone_density,body_leg_left_area,0.2115,0.1628,0.2552,9.50114522599113e-06,2.5809081061647547e-05,B (lean),True,continuous
bone_density,femur_neck_mean_bmd,0.2071,0.162,0.2541,9.385678777130566e-06,2.5809081061647547e-05,B (lean),True,continuous
bone_density,femur_right_shaft_bmd,0.2079,0.1617,0.2558,1.1360006286721025e-05,3.040472270857685e-05,B (lean),True,continuous
bone_density,body_leg_right_area,0.2058,0.1576,0.2519,1.4918193350202745e-05,3.934943753241883e-05,B (lean),True,continuous
bone_density,body_trunk_left_area,0.2007,0.1538,0.2446,1.696631753542751e-05,4.411242559211153e-05,B (lean),True,continuous
bone_density,femur_right_neck_bmd,0.2008,0.155,0.2468,1.7346067381591097e-05,4.446456709083915e-05,B (lean),True,continuous
bone_density,body_total_right_bmc,0.1983,0.1519,0.245,2.4340923311974007e-05,6.152844503860097e-05,B (lean),True,continuous
bone_density,spine_l2_l3_area,0.1959,0.1495,0.2435,4.015103374399777e-05,0.0001001025772795,B (lean),True,continuous
bone_density,spine_l3_bmc,0.1898,0.1443,0.2352,4.872325835545796e-05,0.000119832878658,B (lean),True,continuous
bone_density,spine_l4_bmd,0.1937,0.1481,0.2394,4.964822527439388e-05,0.0001204796933325,B (lean),True,continuous
bone_density,femur_left_lower_neck_bmc,0.1849,0.1395,0.2289,5.04484338426887e-05,0.0001208107231495,B (lean),True,continuous
bone_density,spine_l2_area,0.191,0.1455,0.239,6.948611278833435e-05,0.0001642399029542,B (lean),True,continuous
bone_density,body_arm_right_bmd,0.1877,0.1412,0.2349,7.634882238817866e-05,0.000178147252239,B (lean),True,continuous
bone_density,spine_l1_l2_area,0.191,0.1441,0.2388,8.382700153886936e-05,0.0001931204339249,B (lean),True,continuous
bone_density,femur_lower_neck_mean_bmc,0.18,0.1351,0.2248,0.000104399646337,0.0002375091954167,B (lean),True,continuous
bone_density,body_arms_bmd,0.181,0.1347,0.2274,0.000123369036238,0.0002705200553654,B (lean),True,continuous
bone_density,spine_l2_l3_bmc,0.1806,0.1346,0.2263,0.0001204105587393,0.0002705200553654,B (lean),True,continuous
bone_density,spine_l3_area,0.1783,0.1335,0.2239,0.0001230852774212,0.0002705200553654,B (lean),True,continuous
bone_density,body_trunk_left_bmd,0.1744,0.1288,0.2204,0.0001868745640551,0.0004048948887862,B (lean),True,continuous
bone_density,spine_l3_l4_area,0.1761,0.1292,0.2229,0.0001897556738149,0.0004063003839331,B (lean),True,continuous
