Event,Arm,Seed,C-Index
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,342,0.7511688797456517
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,442,0.5778405283813535
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,542,0.7376923002915171
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,642,0.6261171055384523
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,742,0.7570468574208654
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,842,0.6506040015100037
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,942,0.6803185763144607
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7373658172314012
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6658677090834276
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.7145916393636759
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7295575920038235
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6311955585335502
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.742368119762553
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6404240268603482
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7574117432420105
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.6549452623631559
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.7180732992273762
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,42,0.7403995146084197
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,142,0.6599218187429277
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,242,0.7132593849919078
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,342,0.7582444984726638
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,442,0.6262180530295779
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,542,0.7400686941379078
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,642,0.6404738420460093
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,742,0.7425122388785842
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,842,0.6685919214798037
Date M48 first reported (other spondylopathies) - visit 0,DXA SSL (DINO) + Covariates,942,0.7075557079844141
