disease,model,seed,auc,pr
dis__back_pain,tab_cov,137,0.6045032506908962,0.25190242496126036
dis__back_pain,covariates,256,0.5458832037696085,0.20809359138804578
dis__back_pain,lejepa_cov,256,0.5872020200011929,0.23654050928665146
dis__back_pain,dino_cov,256,0.5930072867169016,0.24833689482683824
dis__back_pain,tab_cov,256,0.5973738493349504,0.2422927715216025
dis__celiac,covariates,42,0.5687744666275201,0.01774062173755767
dis__celiac,lejepa_cov,42,0.6543893129770992,0.02788066614306922
dis__celiac,dino_cov,42,0.6688123899001762,0.03392775029600528
dis__celiac,tab_cov,42,0.5907442748091603,0.02013160327559141
dis__celiac,covariates,73,0.5353151301624584,0.016988094088973563
dis__celiac,lejepa_cov,73,0.6186558034840478,0.023212296093659518
dis__celiac,dino_cov,73,0.6686606968095519,0.0357562255041894
dis__celiac,tab_cov,73,0.5945708553532981,0.020061062028803516
dis__celiac,covariates,99,0.6065154629085927,0.019882159914276047
dis__celiac,lejepa_cov,99,0.6170043061264436,0.02550538922147762
dis__celiac,dino_cov,99,0.6467973184576239,0.026287573224118448
dis__celiac,tab_cov,99,0.616040321002153,0.020456145381682615
dis__celiac,covariates,123,0.5685799569387355,0.019287901303908825
dis__celiac,lejepa_cov,123,0.6072347817576825,0.02135415888221855
dis__celiac,dino_cov,123,0.6524613427285183,0.03138769029678676
dis__celiac,tab_cov,123,0.6042449598747308,0.03158216706882972
dis__celiac,covariates,2024,0.5553031415149736,0.016668509326597067
dis__celiac,lejepa_cov,2024,0.6297489724016442,0.02343951021402272
dis__celiac,dino_cov,2024,0.6187977099236641,0.026037037651305762
dis__celiac,tab_cov,2024,0.6012380113525152,0.023380484376134256
dis__celiac,covariates,7,0.5490959581131337,0.017613756682421523
dis__celiac,lejepa_cov,7,0.6510129183793305,0.025417595299277698
dis__celiac,dino_cov,7,0.6891270307300842,0.028734787102269448
dis__celiac,tab_cov,7,0.6093413583871599,0.024493052551626416
dis__celiac,covariates,17,0.619899931493443,0.022505175443772132
dis__celiac,lejepa_cov,17,0.6300474652573889,0.026156211077886245
dis__celiac,dino_cov,17,0.6718927383049521,0.03210465800356921
dis__celiac,tab_cov,17,0.6388456645136035,0.036817057676085556
dis__celiac,covariates,31,0.5619287042474066,0.017616036655009104
dis__celiac,lejepa_cov,31,0.6443041691133294,0.02530107809459572
dis__celiac,dino_cov,31,0.6777011156782149,0.026672736927029886
dis__celiac,tab_cov,31,0.6350313172832256,0.023418449297814795
dis__celiac,covariates,137,0.5604925132119789,0.017788005882832934
dis__celiac,lejepa_cov,137,0.6291935799569388,0.025670338890379577
dis__celiac,dino_cov,137,0.6587345860246624,0.0335375900126906
dis__celiac,tab_cov,137,0.6065766294773928,0.022463936899741396
dis__celiac,covariates,256,0.5534608044627128,0.023578881941911232
dis__celiac,lejepa_cov,256,0.6144744568408691,0.02571814676143976
dis__celiac,dino_cov,256,0.6361885887649248,0.027116106634034076
dis__celiac,tab_cov,256,0.6103860833822666,0.03739155999175465
dis__copd,covariates,42,0.6398496757712714,0.030753893756712815
dis__copd,lejepa_cov,42,0.7626390253487915,0.12328094650873246
dis__copd,dino_cov,42,0.7801788170563961,0.1303124241761029
dis__copd,tab_cov,42,0.7217744154057771,0.08271540866097354
dis__copd,covariates,73,0.6586922774611907,0.03433742921648721
dis__copd,lejepa_cov,73,0.7448575358616624,0.08613392295000603
dis__copd,dino_cov,73,0.7712831597563372,0.08131366020296217
dis__copd,tab_cov,73,0.7416270387109452,0.0789792394537698
dis__copd,covariates,99,0.6864639418353311,0.041075629171978136
dis__copd,lejepa_cov,99,0.7581351935547258,0.09474492116427174
dis__copd,dino_cov,99,0.7403144036156417,0.10316136136267645
dis__copd,tab_cov,99,0.7279111809785814,0.08430993832236863
dis__copd,covariates,123,0.659934171742975,0.03879946865576074
dis__copd,lejepa_cov,123,0.7889998034977401,0.10033349430866167
dis__copd,dino_cov,123,0.7915818431911967,0.08580086788113067
dis__copd,tab_cov,123,0.7544016506189821,0.06970602315797281
dis__copd,covariates,2024,0.6349037138927098,0.043596411215303874
dis__copd,lejepa_cov,2024,0.7581135783061506,0.1000906871206135
dis__copd,dino_cov,2024,0.7600353704067596,0.13621844366558628
dis__copd,tab_cov,2024,0.7368068382786401,0.08460901596788253
dis__copd,covariates,7,0.6474523482020043,0.03452118801191385
dis__copd,lejepa_cov,7,0.7280703478089998,0.06814222124413549
dis__copd,dino_cov,7,0.7427942621340146,0.08136650357415946
dis__copd,tab_cov,7,0.6928689329927293,0.06047711053408081
